Description,Trial Name,URL
"Use Salesforce Internet of Things (IoT) to delight your customers with proactive
      service and engaging experiences.",Engage Customers with Salesforce IoT,https://trailhead.salesforce.com/content/learn/trails/iot_cloud
Learn Salesforce-tested strategies for enhancing the wellbeing of your team or company.,Enhance Employee Wellbeing with Camp Pono,https://trailhead.salesforce.com/content/learn/trails/camp-pono
"Give agents the right information, at the right time, and in the right format to 
   close cases.",Enhance Service Cloud with Lightning Knowledge,https://trailhead.salesforce.com/content/learn/trails/enhance-service-cloud-with-lightning-knowledge
"Get the tools you need to get started with Salesforce Community
            Cloud.",Expand Your Reach with Communities,https://trailhead.salesforce.com/content/learn/trails/communities
"Learn how to apply deep learning techniques to the problem of natural language
   processing.",Explore Deep Learning for Natural Language Processing,https://trailhead.salesforce.com/content/learn/trails/explore-deep-learning-for-nlp
"Navigate and personalize Analytics, and explore data on desktop and mobile.",Explore with Analytics,https://trailhead.salesforce.com/content/learn/trails/wave_analytics_explorer
Learn how to manage donors and donations with Nonprofit Success Pack and Salesforce.,Fundraise with Nonprofit Success Pack (NPSP),https://trailhead.salesforce.com/content/learn/trails/fundraise-with-nonprofit-success-pack-npsp
Use Einstein Discovery to tap into the power of data science.,Gain Insight with Einstein Discovery,https://trailhead.salesforce.com/content/learn/trails/wave_analytics_einstein_discovery
"Develop your game plan, make the most of your time at Dreamforce, and become a Salesforce speaker.",Get Ready for Dreamforce,https://trailhead.salesforce.com/content/learn/trails/get_ready_for_dreamforce
"See how AI is transforming CRM with smart predictions, intelligent recommendations, and timely automation.",Get Smart with Salesforce Einstein,https://trailhead.salesforce.com/content/learn/trails/get_smart_einstein
"Learn how to publish, engage, and analyze the social web with Marketing Cloud Social Studio.",Get Social with Social Studio,https://trailhead.salesforce.com/content/learn/trails/get-social-with-social-studio
"Bridge the gap between corporate marketing, employees, channel partners, and your brand to deliver consistent experiences.",Get Started with Distributed Marketing,https://trailhead.salesforce.com/content/learn/trails/get-started-with-distributed-marketing
"Start your journey to becoming a new Salesforce Admin with Lightning
      Experience.",Get Started with Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/lex_admin_implementation
Use Sales Cloud's features and tools to achieve your business goals.,Get Started with Sales Cloud,https://trailhead.salesforce.com/content/learn/trails/get-started-with-sales-cloud
Use the tools and methodologies that make up our new developer experience.,Get Started with Salesforce DX,https://trailhead.salesforce.com/content/learn/trails/sfdx_get_started
Improve the productivity of your customer service team by moving your org to Lightning Experience.,Get Started with Service Cloud for Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/service_cloud_move
Build your first iOS apps using the Swift programming language and the iOS Software Development Kit (SDK).,Get Started with iOS App Development,https://trailhead.salesforce.com/content/learn/trails/start-ios-appdev
Learn how Field Service Lightning can help you manage all the moving parts of a successful field service center.,Get on the Road with Field Service Lightning,https://trailhead.salesforce.com/content/learn/trails/field_service
"Craft 1-to-1 consumer experiences across email, mobile, social, advertising, and the web with Marketing Cloud.",Get to Know Marketing Cloud​,https://trailhead.salesforce.com/content/learn/trails/personalize_customer_journeys_marketing_cloud
Optimize your quoting and invoice process and build better team relationships.,Go from Lead to Cash with Salesforce CPQ and Billing,https://trailhead.salesforce.com/content/learn/trails/lead-to-cash-with-salesforce-cpq-and-billing
"Discover Salesforce CRM and how sales, service, and marketing can help your
   business.",Grow Faster with CRM,https://trailhead.salesforce.com/content/learn/trails/crm
Manage your business and help your customers thrive with your AppExchange products.,Grow Your Business as an AppExchange Partner,https://trailhead.salesforce.com/content/learn/trails/isv_business_beginner
Get skills to advance your career and tools to help you handle difficult cases.,Grow Your Career as a Customer Service Agent,https://trailhead.salesforce.com/content/learn/trails/grow-your-career-as-a-customer-service-agent
"Learn how Desk.com can help you deliver fast, helpful customer service.",Help Customers Faster with Desk.com,https://trailhead.salesforce.com/content/learn/trails/help_customers_faster_with_desk_com
Deliver the right message at the right time and build strong customer relationships with Pardot Lightning App.,Increase Engagement and Nurture Leads with Pardot Lightning App,https://trailhead.salesforce.com/content/learn/trails/increase-engagement-nurture-leads-pardot-lightning
"Deliver the right message at the right time and build strong customer relationships with Pardot.		",Increase Engagement and Nurture Leads with Pardot for Salesforce Classic,https://trailhead.salesforce.com/content/learn/trails/increase-engagement-and-nurture-leads-with-pardot
"Help your sales team keep track of who's assigned to each account and
   opportunity.",Increase Sales Efficiency with Territory Management,https://trailhead.salesforce.com/content/learn/trails/increase-efficiency-territory-management
Learn methods to transform your customer experience and foster innovation at your company.,Innovate the Salesforce Way,https://trailhead.salesforce.com/content/learn/trails/innovation_salesforce_way
"Discover powerful tools from Amazon for creating voice-enabled technologies and
   integrate them with Salesforce.",Innovate with Alexa and Amazon Web Services,https://trailhead.salesforce.com/content/learn/trails/innovate-with-alexa-and-amazon-web-services
Discover how Financial Services Cloud helps you deliver personalized wealth management.,Inspire Customer Loyalty with Financial Services Cloud,https://trailhead.salesforce.com/content/learn/trails/fsc_build_loyalty
"Bring Salesforce and your
      email content together and help your sales reps work smarter.",Integrate Outlook and Gmail with Salesforce,https://trailhead.salesforce.com/content/learn/trails/outlook_gmail_integration
"Discover how Service Cloud helps you deliver personalized service to your
            customers.",Keep Customers Happy with Service Cloud for Salesforce Classic,https://trailhead.salesforce.com/content/learn/trails/service_cloud
Understand the technologies that are transforming global business and society.,Learn About the Fourth Industrial Revolution,https://trailhead.salesforce.com/content/learn/trails/learn-about-the-fourth-industrial-revolution
Understand how the United Nations is promoting sustainable development to tackle the world's largest problems.,Learn About the UN's Global Goals,https://trailhead.salesforce.com/content/learn/trails/learn-about-the-uns-global-goals
Master the fundamentals of administering a Salesforce org.,Learn Admin Essentials in Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/learn-admin-essentials
"Learn Atlassian's take on agile project management, how to build and run agile teams, and how to use Scrum and Kanban.",Learn Atlassian Agile Practices,https://trailhead.salesforce.com/content/learn/trails/run-an-agile-team
"Understand Salesforce and learn how to navigate, customize, and manage basic CRM features.",Learn CRM Fundamentals for Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/crm-essentials-lightning-experience
"Understand Salesforce and learn how to navigate, customize, and manage basic CRM features.",Learn CRM Fundamentals for Salesforce Classic,https://trailhead.salesforce.com/content/learn/trails/getting_started_crm_basics
"Discover Peter Drucker's take on management with this MBA-focused curriculum from
            the Drucker School of Management.",Learn Drucker School MBA Essentials,https://trailhead.salesforce.com/content/learn/trails/drucker_school
Discover best practices for optimizing your marketing strategy by channel.,Learn Marketing Best Practices,https://trailhead.salesforce.com/content/learn/trails/learn-marketing-best-practices
Learn how Salesforce uses agile project management processes to develop innovative products.,Learn Salesforce Agile Practices,https://trailhead.salesforce.com/content/learn/trails/learn-salesforce-agile-practices
Help your sales team create quotes quickly and accurately with Salesforce CPQ.,Learn Salesforce CPQ Admin Fundamentals,https://trailhead.salesforce.com/content/learn/trails/cpq-admin
"Earn badges, have fun, and build your career on Salesforce.",Learn Salesforce with Trailhead,https://trailhead.salesforce.com/content/learn/trails/learn_salesforce_with_trailhead
"Get a comprehensive view of your financial services customers so you can better meet
      their needs.",Learn to Work in Financial Services Cloud,https://trailhead.salesforce.com/content/learn/trails/learn-to-work-in-financial-services-cloud
"Learn the fundamentals of working in the new Salesforce experience and watch your
      day-to-day productivity soar.",Learn to Work in Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/lex_user_learn_fundamentals
Understand modern JavaScript development and how it fits in the Lightning Component Framework.,Learn to Work with JavaScript,https://trailhead.salesforce.com/content/learn/trails/learn-to-work-with-javascript
Learn about product updates and pass challenges to maintain your certifications.,Maintain Your Salesforce Certifications,https://trailhead.salesforce.com/content/learn/trails/maintain-your-salesforce-certifications
Enhance your customer service with Einstein Bots and artificial intelligence (AI).,Make Service Cloud Smarter,https://trailhead.salesforce.com/content/learn/trails/service_einstein
Plan and execute your move from Desk.com to Service Cloud to support your growing business.,Make the Move from Desk.com to Service Cloud,https://trailhead.salesforce.com/content/learn/trails/make-the-move-from-desk-com-to-service-cloud
Learn how to upgrade your CRM and migrate your data to Sales Cloud.,Make the Move from SalesforceIQ to Sales Cloud,https://trailhead.salesforce.com/content/learn/trails/make-the-move-from-salesforceiq-to-sales-cloud
Increase your team's productivity by moving your existing org to Lightning Experience.,Make the Move to Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/lex_admin_migration
Use this powerful Marketing Cloud tool to automate and optimize customer interactions.,Manage Campaigns with Journey Builder,https://trailhead.salesforce.com/content/learn/trails/manage-campaigns-with-journey-builder
"Learn to manage volunteer relationships, events, and communications with Volunteers
      for Salesforce and Salesforce.org Nonprofit Cloud.",Manage Volunteers for Nonprofits,https://trailhead.salesforce.com/content/learn/trails/nonprofit_volunteer
Tour a customized version of Salesforce optimized for higher education.,Manage Your Higher Ed Data with HEDA,https://trailhead.salesforce.com/content/learn/trails/highered_heda
Create engaging partner experiences with Sales Cloud Partner Relationship Management (PRM).,Manage Your Partner Relationships with Sales Cloud PRM,https://trailhead.salesforce.com/content/learn/trails/manage-partner-relationships
Integrate your Salesforce data with external data stores and manage records in Salesforce.,Manage Your Salesforce Data and External Data,https://trailhead.salesforce.com/content/learn/trails/manage-your-salesforce-data
Learn the Salesforce Great Manager Model and discover strategies for being a great manager.,Manage the Salesforce Way,https://trailhead.salesforce.com/content/learn/trails/manage_the_salesforce_way
Discover how to track end-to-end marketing effectiveness and take action on insights.,Measure Your Marketing Impact,https://trailhead.salesforce.com/content/learn/trails/measure-your-marketing-impact
"Learn about the key differentiators that drive our success: our core values, innovative technology, and vibrant ecosystem.",Navigate the Salesforce Advantage,https://trailhead.salesforce.com/content/learn/trails/salesforce_advantage
Help your sales teams improve selling relationships and close more deals.,Optimize Sales Features for Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/sales_admin
"Set up Collaborative Forecasts and help your reps to accurately predict sales revenue
   and quantities.​",Optimize Sales Forecasts,https://trailhead.salesforce.com/content/learn/trails/collaborative_forecasts
"Learn the latest Salesforce release features and craft your release
      strategy.",Prepare for Salesforce Releases,https://trailhead.salesforce.com/content/learn/trails/sf_release_prep
Learn how you and your users can work together to keep your data safe.,Protect Your Salesforce Data,https://trailhead.salesforce.com/content/learn/trails/security
Hone your communication skills and make your ideas shine.,Reach Your Audience with Rad Content,https://trailhead.salesforce.com/content/learn/trails/reach_audience_rad
"Learn how Salesforce helps students like you skill up, discover career options, and get hands-on experience.",Rock Your Future with Salesforce,https://trailhead.salesforce.com/content/learn/trails/salesforce-for-students
"Learn how Salesforce Identity lets you give the right people the right access to the
      right resources at the right time.",Secure Identity and Access Management,https://trailhead.salesforce.com/content/learn/trails/identity
"Learn how to establish governance and enforce compliance policies in your org with this
   powerful set of services.",Secure Your Apps with Salesforce Shield,https://trailhead.salesforce.com/content/learn/trails/shield
"Optimize the buying and selling experience to delight your
    customers across all channels.",Sell Everywhere with Commerce Cloud,https://trailhead.salesforce.com/content/learn/trails/cc-overview
Learn how to use the new Salesforce to sell lightning fast in as few clicks as possible.,Sell Lightning Fast with Sales Cloud,https://trailhead.salesforce.com/content/learn/trails/lex_end_user
Make your business stronger with a workforce that's inclusive of military veterans.,Strengthen and Diversify Your Workforce with Military Veterans,https://trailhead.salesforce.com/content/learn/trails/strengthen-and-diversify-your-workforce-with-military-veterans
"Learn how the Salesforce Platform can help you build better apps and customer experiences. 		",Supercharge Your CRM With the Salesforce Platform,https://trailhead.salesforce.com/content/learn/trails/supercharge-your-crm-with-the-salesforce-platform
"Learn how mobile apps can transform your business and improve employee
   productivity.",Transform Your Business with Mobile,https://trailhead.salesforce.com/content/learn/trails/salesforce1_mgmt
Learn how Salesforce Success Cloud can help your company embrace the opportunities of the Fourth Industrial Revolution.,Transform Your Business with Salesforce Success Cloud,https://trailhead.salesforce.com/content/learn/trails/transform-business-sf-expeditions
"Use Google Analytics data to learn about your users, improve your website, and reach your business goals.",Understand Your Web Users with Google Analytics,https://trailhead.salesforce.com/content/learn/trails/understand-your-web-users-with-google-analytics
